Symbol,Company Name,Industry,Prior Close,5 Day Chg_x by %,4 Week Chg_x by %,52 Week Chg by %,Refinitiv,Argus Analyst,Argus A6 Quantitative,MarketEdge,Morgan Stanley,SmartConsensus,TipRanks Analyst Consensus,TipRanks Blogger Sentiment,Vs. S&P 500 4 Weeks by %,Vs. S&P 500 13 Weeks by %,Vs. S&P 500 52 Weeks by %,P/E Ratio (TTM)* by x,Price/Sales Ratio by x,Price/Book Ratio by x,Price/Cash Flow by x,Debt to Capital by x,Return on Equity by %,Return on Assets by %,EPS Growth CFY* by %,EPS Growth NFY* by %,Revenue Growth CFY* by %,Revenue Growth NFY* by %,Dividend Yield by %,Dividend Growth 5 Year by %
FLWS,1-800-Flowers.Com Inc,Other Specialty Retailers,5.42,2.32,-6.00,-41.00,0,0,,0.5,0,-1,0,,-15.82,-38.01,-53.28,--,0.18,0.97,0.00,33.11,-42.08,-18.30,"-3,387.50",88.17,-8.28,-0.68,0.00,0.00
TXG,10X Genomics Inc,Healthcare Equipment & Supplies,8.48,-7.17,-9.00,-70.00,-1,0,,0.5,1,0,0.5,-1,-3.52,-22.64,-67.77,--,1.68,1.49,0.00,0.00,-22.03,-17.20,0.00,0.00,0.00,0.00,0.00,0.00
YI,111 Inc - ADR,Pharmaceuticals,8.39,-1.27,-9.00,-20.00,0,0,,0,0,,,,-14.26,-0.52,-44.70,--,0.03,0.00,0.00,29.72,0.00,-0.71,0.00,0.00,0.00,0.00,0.00,0.00
YQ,17 Education & Technology Group Inc(ADR),Miscellaneous Educational Service Providers,1.89,0.49,7.00,-41.00,1,0,,0,-1,,,,6.33,7.87,-36.00,--,0.69,0.33,0.00,0.00,-43.46,-31.27,0.00,0.00,0.00,0.00,0.00,0.00
TURN,180 Degree Capital Corp,Collective Investments ,3.99,0.25,2.00,1.00,0,0,,0,0,-1,,,-2.35,2.67,-4.68,--,206.36,0.87,0.00,0.00,-8.01,-7.83,0.00,0.00,0.00,0.00,0.00,0.00
ATNF,180 Life Sciences Corp,Software & IT Services,0.89,-11.60,-15.00,-51.00,0,0,,0,0,,,,12.93,-15.38,-46.00,--,0.00,0.70,0.00,1.93,-458.57,-98.96,0.00,0.00,0.00,0.00,0.00,0.00
SRCE,1st Source Corp,Banking Services,60.05,-3.34,-4.00,17.00,1,0,,1,0,0,0.5,1,-3.27,-2.52,6.75,10.64,3.74,1.28,9.94,0.00,12.84,1.60,10.82,0.00,8.52,2.46,2.51,4.94
DIBS,1Stdibs.Com Inc,Software & IT Services,2.43,-0.80,-20.00,-56.00,0,0,,0,0,,0.5,,-6.12,-36.29,-59.93,--,0.99,0.92,0.00,0.00,-17.72,-12.51,0.00,0.00,0.00,0.00,0.00,0.00
XXII,22nd Century Group Inc,Food & Tobacco,0.79,-14.23,-47.00,-100.00,0,0,,0,0,,,,11.31,-69.33,-99.52,--,0.25,0.72,0.00,52.01,0.00,-57.82,0.00,0.00,0.00,0.00,0.00,0.00
MASK,3 E Network Technology Group Ltd,Software & IT Services,3.37,4.69,-12.00,0.00,0,0,,0,0,,,,-1.42,35.20,0.00,20.81,8.51,10.59,20.71,3.77,67.62,47.26,0.00,0.00,0.00,0.00,0.00,0.00
KRKR,36Kr Holdings Inc - ADR,Software & IT Services,4.30,-1.52,-3.00,-44.00,0,0,,0,0,,,,34.95,39.54,-41.21,--,0.36,0.72,0.00,7.80,-73.85,-38.30,0.00,0.00,0.00,0.00,0.00,0.00
SCWO,374Water Inc,"Machinery, Equipment & Components",0.27,9.48,-17.00,-80.00,-1,0,,0,0,,,,1.06,-12.96,-78.86,--,64.77,3.47,0.00,0.00,-110.71,-92.44,0.00,0.00,0.00,0.00,0.00,0.00
FDMT,4D Molecular Therapeutics Inc,Biotechnology & Medical Research,3.34,12.50,-8.00,-86.00,-1,0,,0.5,-1,-1,0.5,1,4.00,-19.28,-87.49,--,7250.81,0.36,0.00,0.00,-32.97,-30.80,0.00,0.00,0.00,0.00,0.00,0.00
FEAM,5E Advanced Materials Inc,Metals & Mining,5.20,0.65,27.00,-80.00,0,0,,0,0,,0.5,,-22.05,3.93,-89.40,--,0.00,1.16,0.00,0.12,-82.77,-44.56,0.00,0.00,0.00,0.00,0.00,0.00
SXTP,60 Degrees Pharmaceuticals Inc,Pharmaceuticals,2.79,4.88,60.00,-79.00,0,0,,0,0,,0,,-27.74,-0.03,-88.11,--,4.20,0.00,0.00,3.71,0.00,-142.94,0.00,0.00,0.00,0.00,0.00,0.00
ETNB,89bio Inc,Biotechnology & Medical Research,7.40,26.31,-14.00,-16.00,0,0,,1,0,-1,1,1,31.30,-7.80,-1.83,--,0.00,2.33,0.00,5.60,-69.30,-61.26,40.74,-3.85,0.00,0.00,0.00,0.00
EGHT,8x8 Inc,Telecommunications Services,1.76,-7.73,-9.00,-20.00,0,0,-1,0.5,-1,0,-0.5,1,-10.41,-38.21,-46.01,--,0.31,1.84,18.69,74.12,-24.28,-3.78,-2.78,-11.43,-0.24,1.30,0.00,0.00
MASS,908 Devices Inc,Healthcare Equipment & Supplies,5.33,4.87,34.00,-5.00,0,0,,1,0,0,1,1,-14.91,82.48,-36.40,--,2.77,1.06,0.00,0.00,-44.97,-36.87,0.00,0.00,0.00,0.00,0.00,0.00
JFU,9F Inc - ADR,Investment Banking & Investment Services,1.21,0.00,-12.00,-60.00,0,0,,0,0,,,,3.75,-7.96,-59.14,14.01,0.38,0.03,0.00,0.00,0.22,-0.48,0.00,0.00,0.00,0.00,0.00,0.00
ASPC,A SPAC III Acquisition Corp,Holding Companies,10.11,0.39,0.00,0.00,0,0,,0,0,,,,-5.19,7.13,0.00,375.46,0.00,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AMRK,A-Mark Precious Metals Inc,Metals & Mining,24.35,-6.42,-6.00,-38.00,0,0,,-1,0,-1,0.5,1,-25.75,-24.39,-54.10,12.60,0.04,0.76,9.07,56.86,6.18,1.90,-66.98,191.55,17.27,2.80,4.04,0.00
AZ,A2Z Cust2Mate Solutions Corp,Software & IT Services,7.45,7.83,0.00,648.00,0,0,,0,0,,0.5,,14.25,32.20,745.20,--,42.79,10.06,0.00,6.76,-134.43,-104.67,0.00,0.00,0.00,0.00,0.00,0.00
AAON,Aaon Inc,"Machinery, Equipment & Components",88.79,-4.01,13.00,-4.00,0,0,0,1,0,0,1,1,9.31,-5.37,19.25,52.53,6.45,9.96,35.81,24.77,19.85,14.10,6.93,37.50,18.57,16.61,0.40,8.45
AARD,Aardvark Therapeutics Inc,Biotechnology & Medical Research,10.12,10.12,2.00,0.00,0,0,,0,1,,1,,14.33,-39.23,0.00,--,0.00,1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ABL,Abacus Global Management Inc,Insurance,8.24,-8.59,9.00,-31.00,-1,0,,0,0,,1,1,-7.36,13.14,-33.39,--,5.89,1.82,0.00,44.98,-6.03,-2.96,15.15,26.32,63.71,25.71,0.00,0.00
ABCL,AbCellera Biologics Inc,Biotechnology & Medical Research,2.59,-0.99,11.00,-32.00,-1,0,,0.5,0,-1,1,1,-27.78,-33.30,-52.93,--,25.83,0.58,0.00,0.00,-15.59,-11.96,-20.00,1.52,-26.86,61.17,0.00,0.00
ABEO,Abeona Therapeutics Inc,Pharmaceuticals,5.35,13.64,7.00,63.00,-1,0,,1,0,0,1,1,14.61,18.39,39.33,--,0.00,7.78,0.00,31.78,-271.78,-50.73,40.65,0.00,0.00,315.26,0.00,0.00
ABTS,Abits Group Inc,Software & IT Services,2.90,7.81,-2.00,-73.00,0,0,,0,0,,,,31.04,-42.66,-68.44,--,1.22,0.79,2.73,0.00,-8.39,-7.68,0.00,0.00,0.00,0.00,0.00,0.00
ABLV,Able View Global Inc,Other Specialty Retailers,1.21,-9.50,34.00,-20.00,0,0,,0,0,,,,-17.76,29.13,-38.97,--,0.42,7.63,0.00,58.88,-80.18,-14.47,0.00,0.00,0.00,0.00,0.00,0.00
ABVE,Above Food Ingredients Inc,Food & Tobacco,0.90,20.97,16.00,0.00,0,0,,0,0,,,,130.34,183.02,-84.04,--,0.00,0.40,0.00,4.58,-1.06,-0.94,0.00,0.00,0.00,0.00,0.00,0.00
ABP,ABPRO Holdings Inc,Biotechnology & Medical Research,0.26,-13.24,-24.00,-97.00,0,0,,0,0,,0.5,,-34.76,-74.38,-98.17,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
