Symbol,Company Name,Industry,Prior Close,5 Day Chg_x by %,4 Week Chg_x by %,52 Week Chg by %,Refinitiv,Argus Analyst,Argus A6 Quantitative,MarketEdge,Morgan Stanley,SmartConsensus,TipRanks Analyst Consensus,TipRanks Blogger Sentiment,Vs. S&P 500 4 Weeks by %,Vs. S&P 500 13 Weeks by %,Vs. S&P 500 52 Weeks by %,P/E Ratio (TTM)* by x,Price/Sales Ratio by x,Price/Book Ratio by x,Price/Cash Flow by x,Debt to Capital by x,Return on Equity by %,Return on Assets by %,EPS Growth CFY* by %,EPS Growth NFY* by %,Revenue Growth CFY* by %,Revenue Growth NFY* by %,Dividend Yield by %,Dividend Growth 5 Year by %
DDD,3D Systems Corp,Electronic Equipment & Parts,1.95,-2.99,-8.00,-43.00,-1,0,-1,0.5,0,-1,0,1,-21.60,-61.45,-58.66,--,0.51,1.51,0.00,60.28,-99.80,-37.82,6.45,53.45,-10.44,3.55,0.00,0.00
MMM,3M Co,Consumer Goods Conglomerates,137.93,0.70,-5.00,50.00,1,1,0,1,-1,0,0.5,1,1.25,5.21,34.07,18.67,3.29,18.06,14.63,74.87,94.75,9.30,4.79,8.63,1.27,2.89,1.95,-8.92
AOS,A O Smith Corp,"Machinery, Equipment & Components",64.78,-2.95,-1.00,-22.00,1,0,0,1,0,0,0,1,-3.14,5.63,-28.06,18.82,2.52,5.24,15.89,12.70,27.97,16.20,1.34,10.58,1.21,4.33,2.02,7.63
ATEN,A10 Networks Inc,Software & IT Services,16.40,-2.23,-1.00,22.00,1,0,0,-1,0,0,0.5,1,-1.57,-15.16,2.12,25.78,4.62,6.28,19.92,52.64,24.36,9.97,0.00,15.12,7.26,7.66,1.40,0.00
AAM^G10,AA Mission Acquisition Corp,Holding Companies,10.30,0.00,0.00,0.00,0,0,,0,0,,,,-5.52,6.67,0.00,39.69,0.00,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AIR,AAR Corp,Aerospace & Defense,53.49,-3.33,-8.00,-23.00,0,0,-1,0.5,0,0,1,1,7.17,-1.85,-24.01,--,0.81,1.83,48.86,46.37,-1.08,-0.51,12.91,19.15,17.27,5.11,0.00,0.00
ABT,Abbott Laboratories,Healthcare Equipment & Supplies,129.53,-1.39,-2.00,20.00,0,1,1,-1,0,0,1,1,-4.58,3.40,13.96,17.00,5.40,4.69,13.72,21.25,30.82,17.54,10.49,10.08,6.46,7.69,1.79,11.44
ABBV,AbbVie Inc,Pharmaceuticals,192.34,0.47,-9.00,17.00,0,1,1,-1,1,0,1,1,-4.99,-4.84,3.89,77.84,5.62,227.06,25.57,97.95,88.15,2.95,21.15,14.44,6.36,8.13,3.59,7.69
ANF,Abercrombie & Fitch Co,Other Specialty Retailers,70.67,-3.64,-6.00,-41.00,0,0,0,0.5,0,0,0.5,1,-1.37,-22.07,-50.85,7.17,0.74,2.86,5.02,0.00,47.77,18.30,-2.53,3.17,3.38,3.01,0.00,0.00
ABM,ABM Industries Inc,Professional & Commercial Services  ,48.51,-1.82,2.00,10.00,0,0,0,1,0,0,0,1,-0.21,1.38,-2.15,40.50,0.38,1.80,17.19,46.41,4.46,1.58,5.60,9.02,2.04,2.57,2.06,4.59
AGD,Abrdn Global Dynamic Dividend Fund,Collective Investments ,9.80,-0.29,-1.00,4.00,0,0,,1,0,,,,-1.88,2.70,-5.06,4.69,11.70,0.91,0.00,2.91,20.67,20.25,0.00,0.00,0.00,0.00,12.16,3.47
ASGI,Abrdn Global Infrastructure Income Fund,Collective Investments ,18.63,-0.73,0.00,8.00,0,0,,1,0,,,,-3.39,9.95,-9.02,5.23,15.94,0.90,0.00,0.00,18.44,18.29,0.00,0.00,0.00,0.00,12.66,0.00
AWP,Abrdn Global Premier Properties Fund,Collective Investments ,3.79,-1.53,-1.00,2.00,0,0,,0,0,,,,-4.63,0.04,-9.86,3.46,28.99,0.92,0.00,18.92,28.64,22.72,0.00,0.00,0.00,0.00,12.47,-3.38
HQH,abrdn Healthcare Investors,Collective Investments ,16.04,-0.06,-3.00,0.00,0,0,,0.5,0,,,,-10.13,-11.26,-16.61,4.34,77.22,0.76,0.00,0.00,18.58,18.56,0.00,0.00,0.00,0.00,15.03,8.29
THQ,abrdn Healthcare Opportunities Fund,Collective Investments ,19.22,-0.78,-7.00,-1.00,0,0,,-1,0,,,,-12.17,-11.22,-20.98,3.86,30.87,0.78,0.00,19.25,21.34,16.96,0.00,0.00,0.00,0.00,12.20,6.96
ACP,abrdn Income Credit Strategies Fund,Collective Investments ,5.54,-3.05,-6.00,-15.00,0,0,,0.5,0,,,,-2.90,-3.69,-23.56,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.59,0.00
JEQ,abrdn Japan Equity Fund Inc,Collective Investments ,6.70,0.58,1.00,14.00,0,0,,1,0,,,,-1.88,22.94,7.92,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.76,0.00
HQL,abrdn Life Sciences Investors,Collective Investments ,12.51,0.58,-3.00,-4.00,0,0,,0.5,0,,,,-9.39,-10.69,-18.71,3.98,88.29,0.74,0.00,0.00,19.80,19.76,0.00,0.00,0.00,0.00,15.53,8.19
AOD,Abrdn Total Dynamic Dividend Fund,Collective Investments ,8.15,-0.12,-2.00,2.00,0,0,,1,0,,,,-2.30,0.21,-8.29,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.94,0.00
THW,abrdn World Healthcare Fund,Collective Investments ,10.69,-0.59,-8.00,-16.00,0,0,,-1,0,,,,-10.09,-11.62,-28.22,4.18,31.99,0.80,0.00,19.63,19.90,15.77,0.00,0.00,0.00,0.00,13.77,0.01
AKR,Acadia Realty Trust,Residential & Commercial REITs,19.79,-5.47,-7.00,13.00,0,0,1,0.5,0,0,1,0,-8.99,-13.38,2.68,114.78,6.68,1.08,16.96,37.28,0.92,0.07,55.00,29.03,-2.16,20.53,4.21,-7.95
AAMI,Acadian Asset Management Inc,Investment Banking & Investment Services,26.91,-3.44,4.00,19.00,1,0,1,0,0,0,0,1,2.56,18.98,20.13,12.23,2.03,49.75,9.33,80.20,"242,432.40",15.53,0.00,0.00,0.00,0.00,0.14,-36.90
ACEL,Accel Entertainment Inc,Hotels & Entertainment Services,11.11,-5.17,11.00,-1.00,1,0,,1,0,0,0.5,1,-6.53,-5.95,3.71,22.61,0.76,3.67,8.48,68.80,18.42,4.32,0.00,0.00,0.00,0.00,0.00,0.00
