Symbol,Company Name,Industry,Prior Close,5 Day Chg_x,4 Week Chg_x,52 Week Chg,Refinitiv,Argus Analyst,Argus A6 Quantitative,MarketEdge,Morgan Stanley,SmartConsensus,TipRanks Analyst Consensus,TipRanks Blogger Sentiment,Vs. S&P 500 4 Weeks,Vs. S&P 500 13 Weeks,Vs. S&P 500 52 Weeks,P/E Ratio (TTM)*,Price/Sales Ratio,Price/Book Ratio,Price/Cash Flow,Debt to Capital,Return on Equity,Return on Assets,EPS Growth CFY*,EPS Growth NFY*,Revenue Growth CFY*,Revenue Growth NFY*,Dividend Yield,Dividend Growth 5 Year
MMM,3M Co,Consumer Goods Conglomerates,137.93,0.70%,-5.00%,50.00%,1,1,0.0,1.0,-1,0.0,0.5,1,1.25%,5.21%,34.07%,18.67x,3.29x,18.06x,14.63x,74.87x,94.75%,9.30%,4.79%,8.63%,1.27%,2.89%,1.95%,-8.92%
AOS,A O Smith Corp,"Machinery, Equipment & Components",64.78,-2.95%,-1.00%,-22.00%,1,0,0.0,1.0,0,0.0,0.0,1,-3.14%,5.63%,-28.06%,18.82x,2.52x,5.24x,15.89x,12.70x,27.97%,16.20%,1.34%,10.58%,1.21%,4.33%,2.02%,7.63%
ABT,Abbott Laboratories,Healthcare Equipment & Supplies,129.53,-1.39%,-2.00%,20.00%,0,1,1.0,-1.0,0,0.0,1.0,1,-4.58%,3.40%,13.96%,17.00x,5.40x,4.69x,13.72x,21.25x,30.82%,17.54%,10.49%,10.08%,6.46%,7.69%,1.79%,11.44%
ABBV,AbbVie Inc,Pharmaceuticals,192.34,0.47%,-9.00%,17.00%,0,1,1.0,-1.0,1,0.0,1.0,1,-4.99%,-4.84%,3.89%,77.84x,5.62x,227.06x,25.57x,97.95x,88.15%,2.95%,21.15%,14.44%,6.36%,8.13%,3.59%,7.69%
ACN,Accenture Plc,Software & IT Services,293.25,-2.09%,-4.00%,-5.00%,0,1,0.0,0.5,0,0.0,0.5,1,1.95%,-13.89%,-6.40%,26.11x,2.95x,6.78x,22.02x,14.59x,27.26%,14.10%,6.28%,6.93%,5.75%,5.63%,1.87%,11.31%
ADBE,Adobe Inc,Software & IT Services,368.62,2.38%,-5.00%,-23.00%,1,1,1.0,0.5,1,1.0,0.5,1,7.78%,-4.58%,-22.22%,27.31x,8.01x,13.76x,23.20x,31.97x,47.28%,23.00%,10.53%,12.28%,9.00%,9.69%,0.00%,0.00%
AMD,Advanced Micro Devices Inc,Semiconductors & Semiconductor Equipment ,96.39,-3.72%,-6.00%,-39.00%,0,1,0.0,1.0,0,1.0,0.5,1,10.02%,1.54%,-39.24%,81.16x,6.47x,3.09x,33.85x,6.71x,3.90%,3.15%,19.34%,43.80%,22.53%,17.47%,0.00%,0.00%
AES,AES Corp,Electrical Utilities & IPPs,10.19,-22.34%,-19.00%,-42.00%,0,1,1.0,-0.5,1,1.0,0.5,1,-10.66%,-5.49%,-58.20%,5.28x,0.57x,1.98x,3.83x,78.00x,40.83%,1.05%,0.93%,3.70%,2.92%,2.93%,7.31%,4.79%
AFL,Aflac Inc,Insurance,108.49,-3.15%,-2.00%,29.00%,1,0,0.0,-1.0,0,-1.0,0.0,1,-11.87%,2.88%,6.17%,15.99x,3.28x,2.11x,0.00x,22.52x,14.41%,2.93%,-9.20%,6.71%,-8.80%,1.25%,2.26%,13.12%
A,Agilent Technologies Inc,Healthcare Equipment & Supplies,106.87,-2.42%,-9.00%,-23.00%,1,0,0.0,0.5,0,0.0,0.5,1,-3.78%,-16.04%,-34.82%,25.16x,4.79x,5.19x,20.49x,35.82x,20.61%,11.01%,4.91%,9.19%,3.43%,5.92%,0.90%,7.80%
